content_id,title,platform,topic,content_type,publish_time,title_style,cover_style,duration_sec,production_hours,followers_before,impressions,views,likes,favorites,comments,shares,completion_rate,new_followers,consultations,conversions,revenue,ad_spend,is_sponsored,body,tags,series_id,parent_content_id,content_similarity_group,knowledge_domain,difficulty_level,novelty_score,duplication_risk,user_fatigue_risk
C0001,商业案例实操指南：从 0 到 1 完整流程 #01,xiaohongshu,商业案例,case_study,2026-02-27T01:08:13,tutorial,face_text,473,6.2,125180,26699,10988,429,1333,67,76,0.4628,44,44,18,20014.1,0.0,True,,,,,,,,,,
C0002,我用一个真实案例跑通了职场效率 #02,bilibili,职场效率,story,2026-02-28T01:08:13,story,screenshot,366,7.4,119065,13071,4699,220,95,34,4,0.4754,49,1,0,0.0,0.0,False,,,,,,,,,,
C0003,内容方法论高手和新手的区别在哪里 #03,douyin,内容方法论,review,2026-03-01T03:08:13,contrast,minimal,505,6.5,108369,19758,13341,618,703,109,47,0.4291,170,9,1,336.73,0.0,False,,,,,,,,,,
C0004,你做知识付费没结果，通常卡在这 3 个问题 #04,wechat,知识付费,listicle,2026-03-02T12:08:13,pain_point,contrast,523,4.8,54700,10895,8732,385,310,87,77,0.3389,62,86,43,65411.31,0.0,False,,,,,,,,,,
C0005,副业增长实操指南：从 0 到 1 完整流程 #05,zhihu,副业增长,opinion,2026-03-03T01:08:13,tutorial,product_demo,205,3.9,142758,24757,9013,395,573,106,66,0.3807,101,0,0,0.0,0.0,False,,,,,,,,,,
C0006,我用一个真实案例跑通了AI工具 #06,youtube,AI工具,case_study,2026-03-03T22:08:13,story,product_demo,659,10.6,27738,40085,18150,958,800,143,133,0.4992,199,14,3,2237.46,0.0,False,,,,,,,,,,
C0007,用副业增长拿到第一笔稳定收入 #07,tiktok,副业增长,tutorial,2026-03-05T04:08:13,result_oriented,face_text,842,5.6,109400,20265,9066,430,329,85,51,0.3953,176,5,0,0.0,0.0,False,,,,,,,,,,
C0008,产品化服务实操指南：从 0 到 1 完整流程 #08,instagram,产品化服务,story,2026-03-06T03:08:13,tutorial,screenshot,306,1.3,121730,27919,15164,660,2013,30,56,0.4635,96,61,8,3129.85,730.67,False,,,,,,,,,,
C0009,提升商业案例转化的 7 个动作 #09,substack,商业案例,case_study,2026-03-07T04:08:13,number,minimal,99,4.8,33472,14047,5163,171,240,58,25,0.4139,30,50,25,61778.04,0.0,False,,,,,,,,,,
C0010,用副业增长拿到第一笔稳定收入 #10,x,副业增长,listicle,2026-03-08T06:08:13,result_oriented,contrast,682,3.5,142679,22413,9038,374,292,34,39,0.6185,80,9,1,800.9,0.0,False,,,,,,,,,,
C0011,你做内容方法论没结果，通常卡在这 3 个问题 #11,xiaohongshu,内容方法论,opinion,2026-03-09T12:08:13,pain_point,product_demo,825,2.7,19458,17733,10709,540,1219,68,61,0.287,63,11,1,350.19,0.0,False,,,,,,,,,,
C0012,提升知识付费转化的 7 个动作 #12,bilibili,知识付费,case_study,2026-03-09T23:08:13,number,product_demo,431,10.4,78876,14549,11858,630,386,108,57,0.3742,126,47,16,16806.76,0.0,True,,,,,,,,,,
C0013,内容方法论高手和新手的区别在哪里 #13,douyin,内容方法论,tutorial,2026-03-11T07:08:13,contrast,face_text,578,5.7,33087,52108,23307,1574,1002,290,86,0.2174,296,29,6,2099.31,0.0,False,,,,,,,,,,
C0014,产品化服务还值得做吗？这是我的数据复盘 #14,wechat,产品化服务,story,2026-03-12T08:08:13,question,minimal,351,4.4,129531,7675,5631,242,186,28,15,0.4807,34,53,14,16053.42,0.0,False,,,,,,,,,,
C0015,商业案例实操指南：从 0 到 1 完整流程 #15,zhihu,商业案例,case_study,2026-03-12T22:08:13,tutorial,contrast,155,7.1,52562,12431,8776,385,638,69,27,0.3648,88,28,11,11351.18,0.0,False,,,,,,,,,,
C0016,我用一个真实案例跑通了产品化服务 #16,youtube,产品化服务,listicle,2026-03-14T05:08:13,story,contrast,766,7.7,57026,9656,4733,215,91,21,19,0.6757,21,17,4,1445.08,0.0,False,,,,,,,,,,
C0017,用商业案例拿到第一笔稳定收入 #17,tiktok,商业案例,case_study,2026-03-15T10:08:13,result_oriented,product_demo,619,5.3,113261,54297,32797,1472,968,132,309,0.5952,432,110,36,57022.23,0.0,False,,,,,,,,,,
C0018,知识付费还值得做吗？这是我的数据复盘 #18,instagram,知识付费,case_study,2026-03-16T07:08:13,question,face_text,721,3.3,78201,24842,16959,762,1489,213,82,0.3733,95,77,23,30980.94,954.83,False,,,,,,,,,,
C0019,产品化服务实操指南：从 0 到 1 完整流程 #19,substack,产品化服务,tutorial,2026-03-17T09:08:13,tutorial,face_text,660,4.6,131211,6528,4489,170,316,27,41,0.4808,40,46,16,14378.85,0.0,False,,,,,,,,,,
C0020,我用一个真实案例跑通了知识付费 #20,x,知识付费,story,2026-03-18T12:08:13,story,screenshot,837,4.0,137983,11494,8345,464,299,47,59,0.6029,23,32,7,6682.94,309.61,False,,,,,,,,,,
C0021,职场效率还值得做吗？这是我的数据复盘 #21,xiaohongshu,职场效率,review,2026-03-18T23:08:13,question,contrast,252,4.9,22642,33822,13982,843,1141,73,114,0.6029,92,5,0,0.0,0.0,False,,,,,,,,,,
C0022,产品化服务实操指南：从 0 到 1 完整流程 #22,bilibili,产品化服务,listicle,2026-03-20T08:08:13,tutorial,case_result,453,7.9,19436,18789,9487,369,776,84,53,0.5657,122,33,4,2400.08,0.0,False,,,,,,,,,,
C0023,我用一个真实案例跑通了副业增长 #23,douyin,副业增长,opinion,2026-03-21T00:08:13,story,product_demo,311,3.9,38533,41609,28776,1590,619,291,164,0.2148,453,0,0,0.0,759.97,True,,,,,,,,,,
C0024,用职场效率拿到第一笔稳定收入 #24,wechat,职场效率,case_study,2026-03-22T09:08:13,result_oriented,product_demo,378,6.8,36093,9989,3837,223,128,42,31,0.3631,14,27,7,7602.81,756.31,False,,,,,,,,,,
C0025,商业案例还值得做吗？这是我的数据复盘 #25,zhihu,商业案例,case_study,2026-03-23T05:08:13,question,face_text,396,4.2,44661,14564,10359,514,445,71,83,0.4452,26,37,12,13170.35,0.0,False,,,,,,,,,,
C0026,提升职场效率转化的 7 个动作 #26,youtube,职场效率,story,2026-03-24T11:08:13,number,minimal,864,5.0,50793,28494,19061,817,608,243,89,0.5597,198,8,2,1208.89,0.0,False,,,,,,,,,,
C0027,产品化服务高手和新手的区别在哪里 #27,tiktok,产品化服务,review,2026-03-25T04:08:13,contrast,contrast,648,2.2,137118,21042,17314,565,599,71,102,0.5259,171,62,10,7451.78,0.0,False,,,,,,,,,,
C0028,用知识付费拿到第一笔稳定收入 #28,instagram,知识付费,listicle,2026-03-25T22:08:13,result_oriented,contrast,175,4.3,70299,51805,20712,893,1928,203,122,0.2897,114,75,23,20433.2,519.06,False,,,,,,,,,,
C0029,职场效率实操指南：从 0 到 1 完整流程 #29,substack,职场效率,opinion,2026-03-27T08:08:13,tutorial,product_demo,291,3.4,113344,9581,5075,183,352,23,34,0.3231,41,31,9,6021.77,0.0,False,,,,,,,,,,
C0030,我用一个真实案例跑通了个人IP #30,x,个人IP,case_study,2026-03-28T01:08:13,story,product_demo,504,3.7,53400,11460,6500,304,324,52,63,0.2953,60,7,1,817.27,0.0,False,,,,,,,,,,
C0031,副业增长高手和新手的区别在哪里 #31,xiaohongshu,副业增长,tutorial,2026-03-29T05:08:13,contrast,screenshot,742,2.2,24551,26993,10731,344,935,119,41,0.3858,137,0,0,0.0,0.0,False,,,,,,,,,,
C0032,职场效率还值得做吗？这是我的数据复盘 #32,bilibili,职场效率,story,2026-03-30T01:08:13,question,screenshot,380,7.3,102690,10453,4727,208,164,37,40,0.764,51,4,0,0.0,0.0,False,,,,,,,,,,
C0033,提升商业案例转化的 7 个动作 #33,douyin,商业案例,case_study,2026-03-31T00:08:13,number,contrast,416,4.0,24630,20835,14148,596,523,89,91,0.4195,150,51,14,12301.67,0.0,False,,,,,,,,,,
C0034,我用一个真实案例跑通了知识付费 #34,wechat,知识付费,listicle,2026-04-01T00:08:13,story,contrast,60,4.9,66646,7353,5352,223,180,33,33,0.2755,27,52,20,24536.93,0.0,True,,,,,,,,,,
C0035,用产品化服务拿到第一笔稳定收入 #35,zhihu,产品化服务,opinion,2026-04-02T04:08:13,result_oriented,case_result,859,5.3,123590,5954,3271,172,121,30,20,0.2383,22,12,1,412.58,0.0,False,,,,,,,,,,
C0036,你做个人IP没结果，通常卡在这 3 个问题 #36,youtube,个人IP,case_study,2026-04-03T01:08:13,pain_point,product_demo,380,11.4,47828,61226,24286,1463,923,167,158,0.7498,291,8,1,597.98,0.0,False,,,,,,,,,,
C0037,提升职场效率转化的 7 个动作 #37,tiktok,职场效率,tutorial,2026-04-04T03:08:13,number,face_text,386,3.0,14445,70201,29292,1694,844,269,157,0.4635,318,40,8,6473.32,0.0,False,,,,,,,,,,
C0038,用个人IP拿到第一笔稳定收入 #38,instagram,个人IP,story,2026-04-05T03:08:13,result_oriented,screenshot,531,1.0,37424,30528,12364,612,1027,76,73,0.5108,67,10,2,1199.89,0.0,False,,,,,,,,,,
C0039,知识付费还值得做吗？这是我的数据复盘 #39,substack,知识付费,review,2026-04-06T07:08:13,question,minimal,640,4.5,123351,11142,4620,199,141,36,29,0.5812,27,48,27,42837.01,0.0,False,,,,,,,,,,
C0040,职场效率实操指南：从 0 到 1 完整流程 #40,x,职场效率,listicle,2026-04-07T00:08:13,tutorial,contrast,647,6.0,144466,17868,12010,690,752,113,83,0.3629,80,8,0,0.0,0.0,False,,,,,,,,,,
C0041,我用一个真实案例跑通了个人IP #41,xiaohongshu,个人IP,opinion,2026-04-08T02:08:13,story,case_result,488,7.5,93483,17606,6589,246,544,44,55,0.6886,66,5,1,283.55,0.0,False,,,,,,,,,,
C0042,职场效率还值得做吗？这是我的数据复盘 #42,bilibili,职场效率,case_study,2026-04-09T06:08:13,question,face_text,490,8.5,11724,36588,14689,527,416,111,94,0.6143,113,4,0,0.0,0.0,False,,,,,,,,,,
C0043,产品化服务实操指南：从 0 到 1 完整流程 #43,douyin,产品化服务,tutorial,2026-04-10T10:08:13,tutorial,face_text,386,5.6,11440,37870,17844,722,1217,278,141,0.4066,221,57,6,4409.32,397.05,False,,,,,,,,,,
C0044,我用一个真实案例跑通了商业案例 #44,wechat,商业案例,story,2026-04-11T05:08:13,story,screenshot,468,5.5,81621,13092,6317,130,318,62,35,0.4721,59,64,35,40533.69,177.19,False,,,,,,,,,,
C0045,内容方法论高手和新手的区别在哪里 #45,zhihu,内容方法论,review,2026-04-12T09:08:13,contrast,minimal,789,3.7,88248,11372,5645,255,354,14,23,0.2752,36,8,2,575.77,0.0,True,,,,,,,,,,
C0046,你做AI工具没结果，通常卡在这 3 个问题 #46,youtube,AI工具,listicle,2026-04-13T01:08:13,pain_point,contrast,734,8.6,99533,29657,20843,930,1092,282,207,0.6986,206,14,1,301.02,381.42,False,,,,,,,,,,
C0047,商业案例实操指南：从 0 到 1 完整流程 #47,tiktok,商业案例,case_study,2026-04-14T11:08:13,tutorial,product_demo,448,5.7,32921,57511,31582,1330,1936,303,234,0.2863,323,162,54,77939.8,0.0,False,,,,,,,,,,
C0048,我用一个真实案例跑通了产品化服务 #48,instagram,产品化服务,case_study,2026-04-15T10:08:13,story,face_text,412,7.1,104608,44842,16957,898,1728,166,149,0.2311,35,62,9,5080.05,0.0,False,,,,,,,,,,
C0049,个人IP还值得做吗？这是我的数据复盘 #49,substack,个人IP,tutorial,2026-04-16T04:08:13,question,screenshot,362,5.2,56018,9222,3702,98,140,21,15,0.2739,39,28,9,6938.07,0.0,False,,,,,,,,,,
C0050,你做副业增长没结果，通常卡在这 3 个问题 #50,x,副业增长,story,2026-04-17T05:08:13,pain_point,minimal,631,4.3,67671,21840,11716,586,419,107,79,0.2452,131,11,2,936.87,0.0,False,,,,,,,,,,
C0051,我用一个真实案例跑通了内容方法论 #51,xiaohongshu,内容方法论,review,2026-04-18T08:08:13,story,contrast,172,8.4,148797,6899,5205,268,558,30,30,0.5375,23,5,0,0.0,0.0,False,,,,,,,,,,
C0052,用个人IP拿到第一笔稳定收入 #52,bilibili,个人IP,listicle,2026-04-19T02:08:13,result_oriented,contrast,546,4.8,145482,15903,10140,280,275,68,63,0.5177,132,7,0,0.0,0.0,False,,,,,,,,,,
C0053,职场效率还值得做吗？这是我的数据复盘 #53,douyin,职场效率,opinion,2026-04-20T01:08:13,question,product_demo,812,8.2,112021,27589,21635,849,618,233,103,0.4011,300,24,5,4378.32,799.52,False,,,,,,,,,,
C0054,提升产品化服务转化的 7 个动作 #54,wechat,产品化服务,case_study,2026-04-21T05:08:13,number,face_text,139,9.1,48253,7822,5175,252,169,54,19,0.5241,31,52,22,24673.91,0.0,False,,,,,,,,,,
C0055,我用一个真实案例跑通了商业案例 #55,zhihu,商业案例,case_study,2026-04-22T12:08:13,story,face_text,429,4.5,110191,16832,7966,345,250,36,47,0.5253,52,30,10,15353.23,0.0,False,,,,,,,,,,
C0056,用职场效率拿到第一笔稳定收入 #56,youtube,职场效率,story,2026-04-23T11:08:13,result_oriented,minimal,893,7.4,127825,33865,21809,1008,1116,275,73,0.6666,230,29,5,4093.44,0.0,True,,,,,,,,,,
C0057,商业案例实操指南：从 0 到 1 完整流程 #57,tiktok,商业案例,case_study,2026-04-23T22:08:13,tutorial,contrast,576,5.7,30318,40627,31031,1421,1642,344,157,0.3352,397,134,46,73332.87,902.81,False,,,,,,,,,,
C0058,提升副业增长转化的 7 个动作 #58,instagram,副业增长,listicle,2026-04-25T08:08:13,number,contrast,701,5.0,32140,23046,19645,783,1563,181,145,0.3426,182,28,7,3056.52,0.0,False,,,,,,,,,,
C0059,用AI工具拿到第一笔稳定收入 #59,substack,AI工具,opinion,2026-04-26T00:08:13,result_oriented,product_demo,558,7.3,138884,7681,3439,248,188,18,26,0.3818,26,26,10,7062.76,0.0,False,,,,,,,,,,
C0060,个人IP还值得做吗？这是我的数据复盘 #60,x,个人IP,case_study,2026-04-27T10:08:13,question,product_demo,184,5.7,121242,23299,13123,234,507,129,51,0.535,148,12,2,1560.2,323.0,False,,,,,,,,,,
C0061,提升职场效率转化的 7 个动作 #61,xiaohongshu,职场效率,tutorial,2026-04-28T05:08:13,number,screenshot,155,4.1,56837,18338,8427,369,827,81,68,0.379,48,12,2,886.9,307.49,False,,,,,,,,,,
C0062,我用一个真实案例跑通了AI工具 #62,bilibili,AI工具,story,2026-04-29T09:08:13,story,minimal,306,6.9,63806,20514,13775,681,769,183,109,0.4605,162,10,3,1572.99,840.04,False,,,,,,,,,,
C0063,用副业增长拿到第一笔稳定收入 #63,douyin,副业增长,review,2026-04-29T22:08:13,result_oriented,contrast,737,3.0,42331,46507,16701,464,487,45,64,0.175,226,14,2,694.73,0.0,False,,,,,,,,,,
C0064,你做内容方法论没结果，通常卡在这 3 个问题 #64,wechat,内容方法论,listicle,2026-05-01T05:08:13,pain_point,case_result,703,4.4,21351,13791,6301,209,362,61,34,0.5198,59,44,16,20763.0,0.0,False,,,,,,,,,,
C0065,我用一个真实案例跑通了商业案例 #65,zhihu,商业案例,case_study,2026-05-02T08:08:13,story,product_demo,855,5.0,86039,13598,6166,212,221,41,49,0.3214,67,28,7,12039.48,0.0,False,,,,,,,,,,
C0066,职场效率高手和新手的区别在哪里 #66,youtube,职场效率,case_study,2026-05-03T04:08:13,contrast,product_demo,739,7.9,91056,28873,14656,865,600,66,113,0.6789,142,18,5,3166.04,0.0,False,,,,,,,,,,
C0067,产品化服务还值得做吗？这是我的数据复盘 #67,tiktok,产品化服务,tutorial,2026-05-04T02:08:13,question,screenshot,512,4.8,45155,37387,16791,324,610,134,76,0.4359,193,65,16,7425.93,0.0,True,,,,,,,,,,
C0068,提升知识付费转化的 7 个动作 #68,instagram,知识付费,story,2026-05-05T02:08:13,number,screenshot,806,3.7,9602,64162,23138,1102,1811,170,113,0.3945,152,121,39,23524.5,0.0,False,,,,,,,,,,
C0069,职场效率高手和新手的区别在哪里 #69,substack,职场效率,review,2026-05-06T00:08:13,contrast,contrast,554,6.5,72811,3510,2998,130,113,21,22,0.2899,21,21,7,8380.89,0.0,False,,,,,,,,,,
C0070,用AI工具拿到第一笔稳定收入 #70,x,AI工具,listicle,2026-05-07T05:08:13,result_oriented,contrast,94,3.4,58184,14687,6932,308,324,77,50,0.2595,10,4,0,0.0,0.0,False,,,,,,,,,,
C0071,你做副业增长没结果，通常卡在这 3 个问题 #71,xiaohongshu,副业增长,opinion,2026-05-08T05:08:13,pain_point,case_result,468,8.0,90294,44147,20481,934,1901,105,120,0.4315,230,14,1,357.42,371.5,False,,,,,,,,,,
C0072,提升内容方法论转化的 7 个动作 #72,bilibili,内容方法论,case_study,2026-05-09T05:08:13,number,product_demo,148,9.0,96323,39893,16141,830,792,131,64,0.4953,151,2,0,0.0,193.28,False,,,,,,,,,,
C0073,AI工具高手和新手的区别在哪里 #73,douyin,AI工具,tutorial,2026-05-10T02:08:13,contrast,screenshot,828,3.2,5827,63503,27318,1227,1495,211,61,0.4023,280,16,2,1431.19,0.0,False,,,,,,,,,,
C0074,你做职场效率没结果，通常卡在这 3 个问题 #74,wechat,职场效率,story,2026-05-11T09:08:13,pain_point,minimal,251,3.9,129558,15836,9095,499,401,35,58,0.3563,79,63,22,28698.74,0.0,False,,,,,,,,,,
C0075,AI工具实操指南：从 0 到 1 完整流程 #75,zhihu,AI工具,review,2026-05-11T22:08:13,tutorial,contrast,79,3.2,38820,13094,8990,469,777,119,53,0.2403,39,10,1,662.32,0.0,False,,,,,,,,,,
C0076,知识付费高手和新手的区别在哪里 #76,youtube,知识付费,listicle,2026-05-13T09:08:13,contrast,case_result,402,9.5,19184,23845,19346,1019,621,223,162,0.6822,186,74,21,22635.62,0.0,False,,,,,,,,,,
C0077,用副业增长拿到第一笔稳定收入 #77,tiktok,副业增长,opinion,2026-05-14T07:08:13,result_oriented,product_demo,167,3.8,92264,67576,33581,1939,1563,303,36,0.3389,548,37,8,3440.82,0.0,False,,,,,,,,,,
C0078,产品化服务实操指南：从 0 到 1 完整流程 #78,instagram,产品化服务,case_study,2026-05-15T01:08:13,tutorial,face_text,133,7.2,125671,46783,27241,1484,3136,178,113,0.4414,176,114,15,10391.32,0.0,True,,,,,,,,,,
C0079,提升副业增长转化的 7 个动作 #79,substack,副业增长,tutorial,2026-05-16T05:08:13,number,screenshot,535,6.6,58490,9609,6060,229,247,38,42,0.4897,71,46,17,17027.13,0.0,False,,,,,,,,,,
C0080,内容方法论高手和新手的区别在哪里 #80,x,内容方法论,story,2026-05-17T06:08:13,contrast,minimal,425,4.6,34393,10734,5603,367,368,61,32,0.396,24,9,1,442.04,0.0,False,,,,,,,,,,
MATH001,傅里叶变换入门,bilibili,数学变换,case_study,2026-02-27T01:08:13,tutorial,face_text,473,6.2,125180,26699,28000,429,1680,67,76,0.4628,336,28,2,800.0,0.0,True,傅里叶变换入门 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,,math_transform,mathematics,beginner,0.72,0.22,0.1
MATH002,3分钟理解傅里叶变换,douyin,数学变换,story,2026-02-28T01:08:13,story,screenshot,366,7.4,119065,13071,22000,220,1100,34,4,0.4754,176,22,1,300.0,0.0,False,3分钟理解傅里叶变换 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,MATH001,math_transform,mathematics,beginner,0.45,0.72,0.28
MATH003,拉普拉斯变换怎么用,wechat,数学变换,review,2026-03-01T03:08:13,contrast,minimal,505,6.5,108369,19758,15000,618,1350,109,47,0.4291,135,30,3,1500.0,0.0,False,拉普拉斯变换怎么用 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,,math_transform,mathematics,intermediate,0.68,0.28,0.35
MATH004,拉马努金变换直觉,zhihu,数学变换,listicle,2026-03-02T12:08:13,pain_point,contrast,523,4.8,54700,10895,9500,385,1330,87,77,0.3389,57,47,8,7800.0,0.0,False,拉马努金变换直觉 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,,math_transform,mathematics,advanced,0.86,0.18,0.48
MATH005,小波变换和 FFT 区别,bilibili,数学变换,opinion,2026-03-03T01:08:13,tutorial,product_demo,205,3.9,142758,24757,8200,395,1066,106,66,0.3807,49,32,5,4200.0,0.0,False,小波变换和 FFT 区别 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,MATH001,math_transform,mathematics,advanced,0.78,0.25,0.55
MATH006,快速傅里叶变换 FFT 实战,youtube,数学变换,case_study,2026-03-03T22:08:13,story,product_demo,659,10.6,27738,40085,12000,958,1440,143,133,0.4992,84,48,6,5200.0,0.0,False,快速傅里叶变换 FFT 实战 的可视化解释和应用场景,"mathematics, signal_processing, transformation",math_transform_series,MATH001,math_transform,mathematics,advanced,0.73,0.2,0.42
REP001,AI工具效率提升指南,xiaohongshu,AI工具,opinion,2026-03-09T12:08:13,pain_point,product_demo,825,2.7,19458,17733,18000,540,1440,68,61,0.287,216,11,1,1800.0,0.0,False,同一主题连续发布，用于模拟重复疲劳风险,"AI_tools, productivity",ai_tools_repeat_series,,ai_efficiency_repeat,AI_tools,beginner,0.7,0.35,0.2
REP002,AI工具效率提升的3个方法,bilibili,AI工具,case_study,2026-03-09T23:08:13,number,product_demo,431,10.4,78876,14549,16800,630,1209,108,57,0.3742,168,47,16,2100.0,0.0,True,同一主题连续发布，用于模拟重复疲劳风险,"AI_tools, productivity",ai_tools_repeat_series,,ai_efficiency_repeat,AI_tools,beginner,0.58,0.47,0.35
REP003,AI工具效率提升避坑,douyin,AI工具,tutorial,2026-03-11T07:08:13,contrast,face_text,578,5.7,33087,52108,11200,1574,716,290,86,0.2174,89,29,6,1900.0,0.0,False,同一主题连续发布，用于模拟重复疲劳风险,"AI_tools, productivity",ai_tools_repeat_series,,ai_efficiency_repeat,AI_tools,beginner,0.45999999999999996,0.59,0.5
REP004,AI工具效率提升复盘,wechat,AI工具,story,2026-03-12T08:08:13,question,minimal,351,4.4,129531,7675,7600,242,425,28,15,0.4807,45,53,14,1500.0,0.0,False,同一主题连续发布，用于模拟重复疲劳风险,"AI_tools, productivity",ai_tools_repeat_series,,ai_efficiency_repeat,AI_tools,beginner,0.33999999999999997,0.71,0.6499999999999999
REP005,AI工具效率提升还值得做吗,zhihu,AI工具,case_study,2026-03-12T22:08:13,tutorial,contrast,155,7.1,52562,12431,5200,385,249,69,27,0.3648,20,28,11,1200.0,0.0,False,同一主题连续发布，用于模拟重复疲劳风险,"AI_tools, productivity",ai_tools_repeat_series,,ai_efficiency_repeat,AI_tools,beginner,0.21999999999999997,0.83,0.8
