revenue_id,date,amount,revenue_type,platform,content_id,product_id,client_name,status,note
R001,2026-04-28,10877.7,brand_ads,xiaohongshu,C001,P001,北岸科技,received,商用机器人试用定金
R002,2026-05-12,15126.44,course,douyin,C019,,北岸科技,received,产品咨询成交
R003,2026-04-26,18387.84,consulting,bilibili,C002,,云谷教育,received,产品咨询成交
R004,2026-05-24,18373.27,service,douyin,C035,P004,明河机器人,pending,资料包销售
R005,2026-05-05,10889.47,affiliate,xiaohongshu,C013,,青石智能,received,资料包销售
R006,2026-05-22,7618.3,brand_ads,wechat,C032,,青石智能,received,内容推广服务费
R007,2026-05-04,12923.81,course,bilibili,C010,P007,云谷教育,received,产品咨询成交
R008,2026-05-17,14732.81,consulting,xiaohongshu,C025,,云谷教育,received,内容推广服务费
R009,2026-06-02,21992.65,service,douyin,C035,,明河机器人,received,资料包销售
R010,2026-05-18,46452.04,affiliate,bilibili,C018,P002,北岸科技,pending,资料包销售
R011,2026-05-16,33714.87,brand_ads,wechat,C020,,晴山生活,received,商用机器人试用定金
R012,2026-05-04,16188.46,course,bilibili,C014,,晴山生活,received,商用机器人试用定金
R013,2026-06-03,50006.37,consulting,wechat,C036,P005,明河机器人,received,商用机器人试用定金
R014,2026-05-22,10038.67,service,bilibili,C022,,青石智能,received,商用机器人试用定金
R015,2026-05-15,5258.79,affiliate,xiaohongshu,C021,,晴山生活,pending,资料包销售
R016,2026-05-11,21100.23,brand_ads,douyin,C011,P008,晴山生活,received,资料包销售
R017,2026-05-26,54559.33,course,douyin,C031,,晴山生活,received,资料包销售
R018,2026-05-25,3536.9,consulting,bilibili,C026,,青石智能,received,商用机器人试用定金
R019,2026-05-31,35607.96,service,wechat,C036,P003,晴山生活,received,内容推广服务费
R020,2026-05-12,12208.69,affiliate,xiaohongshu,C017,,晴山生活,received,内容推广服务费
